relpath,size_bytes,has_frontmatter,current_type,inferred_type,inferred_status,inferred_extras,matched_rule
Cosmology/Creation/Souls/Soul.md,19,no,,essay,stub,{},^Cosmology/Creation/.*\.md$
Cosmology/Elementals/Leviathan.md,0,no,,deity,stub,{},^Cosmology/Elementals/.*\.md$
Cosmology/Elementals/Phenos.md,0,no,,deity,stub,{},^Cosmology/Elementals/.*\.md$
Cosmology/Elementals/Tempus.md,0,no,,deity,stub,{},^Cosmology/Elementals/.*\.md$
Cosmology/Elementals/Zaratan.md,1,no,,deity,stub,{},^Cosmology/Elementals/.*\.md$
Cosmology/Gods/Second Age/Muradin.md,5490,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Second Age/The Last War.md,5700,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Luxar Gods/Aubrek.md,436,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Luxar Gods/Bahamut.md,425,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Luxar Gods/Dorian.md,1646,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Luxar Gods/Fernando.md,430,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Luxar Gods/Irasandra.md,53,no,,deity,stub,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Luxar Gods/Magnus.md,462,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Luxar Gods/Sune.md,462,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Luxar Gods/Unimus.md,520,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Noxar Gods/Bael.md,288,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Noxar Gods/Isolde.md,290,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Noxar Gods/Lillith.md,236,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Noxar Gods/Moloch.md,261,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Noxar Gods/Morbus.md,248,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Noxar Gods/Saul.md,326,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Noxar Gods/Tiamat.md,243,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Noxar Gods/Vecna.md,1810,no,,deity,draft,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Pantheon Of Luxar.md,119,no,,deity,stub,{},^Cosmology/Gods/.*\.md$
Cosmology/Gods/Third Age/Pantheon Of Noxar.md,111,no,,deity,stub,{},^Cosmology/Gods/.*\.md$
History/First Age/Collapse of Solara.md,307,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Creation of Lord Syuul.md,313,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Creation of the World.md,299,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/End of the First Age.md,321,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Founding of Runehart.md,309,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Golden Age of Harmony.md,259,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Imprisonment of Lord Syuul.md,347,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Ishna Awakens.md,276,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Ishna Corrupts Mortals.md,284,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Muradin's Communion with the Elements.md,276,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Muradin’s Pilgrimage Begins.md,290,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/Solaran Research of the World Trees.md,298,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/The Elder Races Are Blessed.md,343,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/The Endless Sun Is Constructed.md,333,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/The Fall of the Endless Sun.md,296,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/The First Age.md,867,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/The Solarans Reach the Stars.md,274,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/First Age/The World Trees Take Root.md,291,yes,,event,draft,"{""era"": ""[[Age of the Endless Sun]]""}",^History/[^/]+/[^/]+\.md$
History/Fourth Age/Night War.md,92,no,,event,stub,"{""era"": ""[[Age of Night]]""}",^History/[^/]+/[^/]+\.md$
History/Fourth Age/Unveiling of the Deepline to Draumhavn from Thelassia.md,13605,no,,event,draft,"{""era"": ""[[Age of Night]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Betrayal of Vecna.md,318,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Collapse of Runehart.md,328,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
"History/Second Age/Creation of Hephaestus, Forgeborn Prime.md",314,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/First Arcanometric Crystals Harvested.md,298,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Founding of the Ashfang Clans.md,320,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Founding of the Pride of Sunreach.md,355,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Hexweave Binding.md,0,no,,event,stub,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Invention of Arcanometry.md,309,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Kas Finds the Blade of Typhon.md,314,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Muradin Seals Typhon.md,332,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Sealing of Ishna.md,298,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/The Forge Wars Begin.md,312,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/The Forge Wars.md,0,no,,event,stub,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/The Forgeborn Legions March.md,282,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/The Kyojin Schism.md,455,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/The Kyojin War.md,404,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/The Second Age.md,2254,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Typhon Becomes the Archon of Death.md,346,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Second Age/Vecna’s Descent Begins.md,310,yes,,event,draft,"{""era"": ""[[Age of Forging]]""}",^History/[^/]+/[^/]+\.md$
History/Third Age/Breaking of the Hexweave Seal.md,0,no,,event,stub,"{""era"": ""[[Age of Stagnation]]""}",^History/[^/]+/[^/]+\.md$
History/Third Age/Psychic Schism.md,1142,yes,,event,draft,"{""era"": ""[[Age of Stagnation]]""}",^History/[^/]+/[^/]+\.md$
History/Timeline.md,70,no,,index,stub,{},^History/Timeline\.md$
index.md,24,no,,essay,stub,{},^index\.md$
Languages/Ancient/Denisovan.md,573,yes,,language,draft,{},^Languages/.*\.md$
Languages/Ancient/Elyssan.md,1510,yes,,language,draft,{},^Languages/.*\.md$
Languages/Ancient/Karathic.md,933,yes,,language,draft,{},^Languages/.*\.md$
Languages/Ancient/Natsugen.md,780,yes,,language,draft,{},^Languages/.*\.md$
Languages/Ancient/Valeshi.md,551,yes,,language,draft,{},^Languages/.*\.md$
Languages/Languages.md,116,no,,language,stub,{},^Languages/.*\.md$
Languages/Modern/Dwarven.md,531,yes,,language,draft,{},^Languages/.*\.md$
Languages/Modern/Imperial Common.md,607,yes,,language,draft,{},^Languages/.*\.md$
Languages/Modern/Leonin.md,751,yes,,language,draft,{},^Languages/.*\.md$
Languages/Modern/Mokoweran.md,717,yes,,language,draft,{},^Languages/.*\.md$
Languages/Modern/Orcish.md,669,yes,,language,draft,{},^Languages/.*\.md$
Languages/Modern/Serethi.md,1318,yes,,language,draft,{},^Languages/.*\.md$
Languages/Modern/Thraysian Common.md,677,yes,,language,draft,{},^Languages/.*\.md$
Languages/Modern/Titanic.md,719,yes,,language,draft,{},^Languages/.*\.md$
Languages/Modern/Zytherin.md,1430,yes,,language,draft,{},^Languages/.*\.md$
Races/Engineered/Forgeborn.md,1472,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Engineered/Saurian.md,4861,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Engineered/Slaad.md,3757,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Grundthains/Dwarves/Dwarf.md,1304,yes,,race,draft,{},^Races/[^/]+/[^/]+/[^/]+\.md$
Races/Grundthains/Dwarves/Variants/Flamebound.md,1411,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Grundthains/Dwarves/Variants/Icebound.md,3118,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Grundthains/Dwarves/Variants/Stormbound.md,2844,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Grundthains/Dwarves/Variants/Tidebound.md,2922,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Grundthains/Goliath.md,1191,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Grundthains/Grundthain.md,1335,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Grundthains/Varkuun.md,1104,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Humans/Elasi/Elasi.md,1329,yes,,race,draft,{},^Races/[^/]+/[^/]+/[^/]+\.md$
Races/Humans/Elasi/Variants/Aquasi.md,0,no,,race,stub,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Humans/Elasi/Variants/Ignasi.md,0,no,,race,stub,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Humans/Elasi/Variants/Terrasi.md,0,no,,race,stub,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Humans/Elasi/Variants/Ventasi.md,0,no,,race,stub,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Humans/Terran/Terran.md,1157,yes,,race,draft,{},^Races/[^/]+/[^/]+/[^/]+\.md$
Races/Humans/Terran/Variants/Imperial Human.md,1151,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Humans/Terran/Variants/Mokoweri Human.md,1252,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Humans/Terran/Variants/Rahalan.md,1119,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Humans/Terran/Variants/Thraysian Human.md,1038,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Humans/Terran/Variants/Uftine Human.md,1104,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Kyojin/Kyojin.md,1410,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Kyojin/Leonin/Leonin.md,1094,yes,,race,draft,{},^Races/[^/]+/[^/]+/[^/]+\.md$
Races/Kyojin/Leonin/Variants/Imperial Leonin.md,1205,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Kyojin/Orcs/Orc.md,1135,yes,,race,draft,{},^Races/[^/]+/[^/]+/[^/]+\.md$
Races/Kyojin/Orcs/Variants/Imperial Orcs.md,1117,yes,,race,draft,{},^Races/[^/]+/[^/]+/Variants/[^/]+\.md$
Races/Solarans/Celestar.md,1018,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Solarans/Ilithid.md,60,yes,,race,stub,{},^Races/[^/]+/[^/]+\.md$
Races/Solarans/Solaran.md,1886,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Races/Solarans/Variants/Arcanii.md,1423,yes,,race,draft,{},^Races/[^/]+/[^/]+/[^/]+\.md$
Races/Solarans/Variants/Ferrun.md,1365,yes,,race,draft,{},^Races/[^/]+/[^/]+/[^/]+\.md$
Races/Solarans/Variants/Mokuun.md,1221,yes,,race,draft,{},^Races/[^/]+/[^/]+/[^/]+\.md$
Races/Solarans/Velastri.md,1100,yes,,race,draft,{},^Races/[^/]+/[^/]+\.md$
Realms/Elementis/Aqua/Elementis Aqua.md,145,no,,landmark,stub,{},^Realms/Elementis/.*\.md$
Realms/Elementis/Aqua/Geography/Cities/Silvertania.md,205,no,,landmark,draft,{},^Realms/Elementis/.*\.md$
Realms/Elementis/Elementis.md,939,no,,landmark,draft,{},^Realms/Elementis/.*\.md$
Realms/Elementis/Ignis/Elementis Ignis.md,260,no,,landmark,draft,{},^Realms/Elementis/.*\.md$
Realms/Elementis/Ignis/Geography/Cities/The City of Gold.md,189,no,,landmark,stub,{},^Realms/Elementis/.*\.md$
Realms/Elementis/Terra/Elementis Terra.md,141,no,,landmark,stub,{},^Realms/Elementis/.*\.md$
Realms/Elementis/Terra/Geography/Cities/Copperton.md,290,no,,landmark,draft,{},^Realms/Elementis/.*\.md$
Realms/Elementis/Ventus/Elementis Ventus.md,217,no,,landmark,draft,{},^Realms/Elementis/.*\.md$
Realms/Elementis/Ventus/Geography/Cities/Bronzegate.md,228,no,,landmark,draft,{},^Realms/Elementis/.*\.md$
Realms/Imperium/Imperium.md,286,no,,landmark,draft,{},^Realms/(Solirion|Nihilum|Thargrun|Veltharyn|Woudum|Sigmora|Infernum|Imperium)/.*\.md$
Realms/Infernum/Infernum.md,280,no,,landmark,draft,{},^Realms/(Solirion|Nihilum|Thargrun|Veltharyn|Woudum|Sigmora|Infernum|Imperium)/.*\.md$
Realms/Nihilum/Nihilum.md,36,no,,landmark,stub,{},^Realms/(Solirion|Nihilum|Thargrun|Veltharyn|Woudum|Sigmora|Infernum|Imperium)/.*\.md$
Realms/Planes.md,262,no,,essay,draft,{},^Realms/Planes\.md$
Realms/Renascita/Constellations.md,2061,no,,essay,draft,{},^Realms/Renascita/Constellations\.md$
Realms/Renascita/Factions/Cults/Souls of the Devourer.md,554,yes,,faction,draft,{},^Realms/Renascita/Factions/Cults/.*\.md$
Realms/Renascita/Factions/Cults/Weavers of Agony.md,3980,yes,,faction,draft,{},^Realms/Renascita/Factions/Cults/.*\.md$
Realms/Renascita/Factions/Orders/Prima Machine.md,633,no,,organisation,draft,{},^Realms/Renascita/Factions/Orders/.*\.md$
Realms/Renascita/Factions/Orders/The Promethium Order.md,253,no,,organisation,draft,{},^Realms/Renascita/Factions/Orders/.*\.md$
Realms/Renascita/Factions/Orders/Ulmist Inquisition.md,777,no,,organisation,draft,{},^Realms/Renascita/Factions/Orders/.*\.md$
Realms/Renascita/Factions/Organisations/Animus.md,396,no,,organisation,draft,{},^Realms/Renascita/Factions/Organisations/.*\.md$
Realms/Renascita/Factions/Organisations/Mages of High Sorcery.md,395,no,,organisation,draft,{},^Realms/Renascita/Factions/Organisations/.*\.md$
Realms/Renascita/Factions/Organisations/VPVD.md,303,no,,organisation,draft,{},^Realms/Renascita/Factions/Organisations/.*\.md$
Realms/Renascita/Factions/Religions/Devouts of Muradin/The Order of Magnus.md,352,no,,faction,draft,{},^Realms/Renascita/Factions/Religions/.*\.md$
Realms/Renascita/Geography/Aquaria/Aquaria.md,68,no,,continent,stub,{},^Realms/Renascita/Geography/([^/]+)/\1\.md$
Realms/Renascita/Geography/Aquaria/Provinces/Coral Reef Bay.md,0,no,,region,stub,"{""continent"": ""[[Aquaria]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Aquaria/Provinces/Crystal Caverns.md,0,no,,region,stub,"{""continent"": ""[[Aquaria]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Aquaria/Provinces/Leviathan's Trench.md,0,no,,region,stub,"{""continent"": ""[[Aquaria]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Arcturia/Arcturia.md,1033,yes,continent,continent,draft,{},^Realms/Renascita/Geography/([^/]+)/\1\.md$
Realms/Renascita/Geography/Arcturia/Cities/Runehart.md,5840,no,,settlement,draft,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+\.md$
Realms/Renascita/Geography/Arcturia/Cities/Uftine/Locations/Crystalward Gate.md,179,no,,landmark,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Arcturia/Cities/Uftine/Locations/Frostforge.md,188,no,,landmark,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Arcturia/Cities/Uftine/Locations/Glacier Library.md,193,no,,landmark,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Arcturia/Cities/Uftine/Locations/The Pulsecore.md,2748,yes,,landmark,draft,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Arcturia/Cities/Uftine/Uftine.md,2053,yes,city,settlement,draft,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Arcturia/Locations/Dürrenholt.md,2000,yes,,landmark,draft,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Locations/.*\.md$
Realms/Renascita/Geography/Arcturia/Mountains/Calderian Peaks.md,0,no,,range,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Arcturia/Mountains/Thornback Ridge.md,0,no,,range,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Arcturia/Mountains/Wyrmspine Mountains.md,0,no,,range,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Arcturia/Provinces/Aurora Forest.md,0,no,,region,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Arcturia/Provinces/Calderian Mountains.md,0,no,,region,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Arcturia/Provinces/Frosthold Glacier.md,0,no,,region,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Arcturia/Provinces/Misty Shores.md,0,no,,region,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Arcturia/Rivers/Icevein River.md,0,no,,waterway,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Arcturia/Rivers/Shadelake Tributary.md,0,no,,waterway,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Arcturia/Rivers/Tharic Runoff.md,0,no,,waterway,stub,"{""continent"": ""[[Arcturia]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Islands/Draumhavn/Draumhavn.md,1487,yes,,continent,draft,"{""kind"": ""island""}",^Realms/Renascita/Geography/Islands/([^/]+)/\1\.md$
Realms/Renascita/Geography/Islands/Draumhavn/Locations/Salt Cradle.md,117,no,,landmark,stub,"{""continent"": ""[[Draumhavn]]""}",^Realms/Renascita/Geography/Islands/([^/]+)/Locations/[^/]+\.md$
Realms/Renascita/Geography/Islands/Draumhavn/Locations/Stormgates.md,117,no,,landmark,stub,"{""continent"": ""[[Draumhavn]]""}",^Realms/Renascita/Geography/Islands/([^/]+)/Locations/[^/]+\.md$
Realms/Renascita/Geography/Islands/Draumhavn/Locations/The Wakened Trench.md,2332,no,,landmark,draft,"{""continent"": ""[[Draumhavn]]""}",^Realms/Renascita/Geography/Islands/([^/]+)/Locations/[^/]+\.md$
Realms/Renascita/Geography/Islands/Thundrakar/Locations/Great Forge of Ormr.md,1992,no,,landmark,draft,"{""continent"": ""[[Thundrakar]]""}",^Realms/Renascita/Geography/Islands/([^/]+)/Locations/[^/]+\.md$
Realms/Renascita/Geography/Islands/Thundrakar/Locations/Stormspire.md,2172,no,,landmark,draft,"{""continent"": ""[[Thundrakar]]""}",^Realms/Renascita/Geography/Islands/([^/]+)/Locations/[^/]+\.md$
Realms/Renascita/Geography/Islands/Thundrakar/Thundrakar.md,3113,yes,city,continent,draft,"{""kind"": ""island""}",^Realms/Renascita/Geography/Islands/([^/]+)/\1\.md$
Realms/Renascita/Geography/Mokoweri/Cities/Aeloria.md,10176,no,,settlement,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+\.md$
Realms/Renascita/Geography/Mokoweri/Cities/Port Zyranzaru.md,806,no,,settlement,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+\.md$
Realms/Renascita/Geography/Mokoweri/Cities/Waterfall City.md,3503,no,,settlement,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+\.md$
Realms/Renascita/Geography/Mokoweri/Locations/Embered Caverns.md,12974,no,,landmark,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Locations/.*\.md$
